resource_id,language_id,english_name,translation
1,8,Canalave City,
2,8,Eterna City,
3,8,Pastoria City,
4,8,Sunyshore City,
5,8,Pokémon League,
6,8,Oreburgh Mine,
7,8,Valley Windworks,
8,8,Eterna Forest,
9,8,Fuego Ironworks,
10,8,Mt. Coronet,
11,8,Great Marsh,
12,8,Solaceon Ruins,
13,8,Victory Road,
14,8,Ravaged Path,
15,8,Oreburgh Gate,
16,8,Stark Mountain,
17,8,Spring Path,
18,8,Turnback Cave,
19,8,Snowpoint Temple,
20,8,Wayward Cave,
22,8,Ruin Maniac Cave,
23,8,Trophy Garden,
24,8,Iron Island,
25,8,Old Chateau,
26,8,Lake Verity,
27,8,Lake Valor,
28,8,Lake Acuity,
29,8,Valor Lakefront,
30,8,Acuity Lakefront,
31,8,Route 201,
32,8,Route 202,
33,8,Route 203,
34,8,Route 204,
35,8,Route 205,
36,8,Route 206,
37,8,Route 207,
38,8,Route 208,
39,8,Route 209,
40,8,Lost Tower,
41,8,Route 210,
42,8,Route 211,
43,8,Route 212,
44,8,Route 213,
45,8,Route 214,
46,8,Route 215,
47,8,Route 216,
48,8,Route 217,
49,8,Route 218,
50,8,Route 219,
51,8,Route 221,
52,8,Route 222,
53,8,Route 224,
54,8,Route 225,
55,8,Route 227,
56,8,Route 228,
57,8,Route 229,
58,8,Twinleaf Town,
59,8,Celestic Town,
60,8,Resort Area,
61,8,Sea Route 220,
62,8,Sea Route 223,
63,8,Sea Route 226,
64,8,Sea Route 230,
65,8,Blackthorn City,
66,8,Burned Tower,
67,8,Celadon City,
68,8,Cerulean City,
69,8,Cherrygrove City,
70,8,Cianwood City,
71,8,Cinnabar Island,
72,8,Dark Cave,
73,8,Diglett's Cave,
74,8,Dragon's Den,
75,8,Ecruteak City,
76,8,Fuchsia City,
77,8,Ice Path,
78,8,Ilex Forest,
79,8,Lake of Rage,
80,8,Mt. Moon,
81,8,Mt. Mortar,
82,8,Mt. Silver,
83,8,National Park,
84,8,New Bark Town,
85,8,Olivine City,
86,8,Pallet Town,
87,8,Rock Tunnel,
88,8,Route 1,
89,8,Route 10,
90,8,Route 11,
91,8,Route 12,
92,8,Route 13,
93,8,Route 14,
94,8,Route 15,
95,8,Route 16,
96,8,Route 17,
97,8,Route 18,
98,8,Sea Route 19,
99,8,Route 2,
100,8,Sea Route 20,
101,8,Sea Route 21,
102,8,Route 22,
103,8,Route 24,
104,8,Route 25,
105,8,Route 26,
106,8,Route 27,
107,8,Route 28,
108,8,Route 29,
109,8,Route 3,
110,8,Route 30,
111,8,Route 31,
112,8,Route 32,
113,8,Route 33,
114,8,Route 34,
115,8,Route 35,
116,8,Route 36,
117,8,Route 37,
118,8,Route 38,
119,8,Route 39,
120,8,Route 4,
